,EX_INDIRUBIN_LPAREN_e_RPAREN_
dsbcox_p,0.0
dsbcrd_p,0.0
dsbdox_c,0.0
dsbdrd_c,0.0
dsbgox_p,0.0
dsbgrd_p,0.0
dscl_c,0.00011704482960117451
dtbt_c,1.3139352127506343e-06
dtdp4aaddg_c,0.0
dtdp4addg_c,0.0
dtdp4d6dg_c,0.0
dtdp4d6dm_c,0.0
dtdp_c,0.016617147625145857
dtdpglu_c,0.0
dtdprmn_c,0.0
dtmp_c,0.0011969075675576488
dtmp_e,0.0
dtmp_p,0.0
dttp_c,0.5419715769305585
dudp_c,0.0
dump_c,0.0137336099163423
dump_e,0.0
dump_p,0.0
duri_c,0.0
duri_e,0.0
duri_p,0.0
dutp_c,0.0137336099163423
dxyl5p_c,0.0014879914435844644
dxyl_c,0.0
e4p_c,2.772265556177737
eca2und_p,0.0
eca3und_p,0.0
eca4colipa_e,0.0
eca4colipa_p,0.0
eca4und_p,0.0
egmeACP_c,1.3139352127506343e-06
eig3p_c,0.04972463258635011
enlipa_e,0.0
enlipa_p,0.0
enter_c,0.0
enter_e,0.0
enter_p,0.0
epmeACP_c,1.3139352127506343e-06
etha_c,0.004319129375690724
etha_e,0.0
etha_p,0.0
ethso3_c,0.0
ethso3_e,0.0
ethso3_p,0.0
etoh_c,0.0
etoh_e,0.0
etoh_p,0.0
f1p_c,0.0
f6p_c,4.883221398320956
f6p_e,0.0
f6p_p,0.0
fad_c,2.1177294443410464
fadh2_c,0.7017282767695203
fald_c,0.0
fald_e,0.0
fald_p,0.0
fc1p_c,0.0
fcl_DASH_L_c,0.0
fdp_c,0.056486890718411266
fe2_c,0.529483489717411
fe2_e,0.008429852054818226
fe2_p,0.016859704109636452
fe3_c,0.5248647067317244
fe3_e,0.0
fe3_p,0.0
fe3dcit_e,0.0
fe3dcit_p,0.0
fe3dhbzs_c,0.0
fe3dhbzs_e,0.0
fe3dhbzs_p,0.0
fe3hox_DASH_un_c,0.0
fe3hox_DASH_un_e,0.0
fe3hox_DASH_un_p,0.0
fe3hox_c,0.0
fe3hox_e,0.0
fe3hox_p,0.0
fecrm_DASH_un_c,0.0
fecrm_DASH_un_e,0.0
fecrm_DASH_un_p,0.0
fecrm_c,0.0
fecrm_e,0.0
fecrm_p,0.0
feenter_c,0.0
feenter_e,0.0
feenter_p,0.0
feoxam_DASH_un_c,0.0
feoxam_DASH_un_e,0.0
feoxam_DASH_un_p,0.0
feoxam_c,0.0
feoxam_e,0.0
feoxam_p,0.0
fgam_c,0.5636947726024368
flxr_c,0.11703810335504959
flxso_c,0.0028747809938321663
fmettrna_c,0.0
fmn_c,0.00011704482960140127
fmnh2_c,0.0
for_c,0.0015170066830601644
for_e,0.0
for_p,0.0
forcoa_c,0.0
fpram_c,0.2826058896427485
fprica_c,0.5824797113211596
frdp_c,0.0001459123884714225
fru_c,0.0
fru_e,0.0
fru_p,0.0
frulys_c,0.0
frulys_e,0.0
frulys_p,0.0
frulysp_c,0.0
fruur_c,0.0
fruur_e,0.0
fruur_p,0.0
fuc_DASH_L_c,0.0
fuc_DASH_L_e,0.0
fuc_DASH_L_p,0.0
fum_c,0.6597628873485766
fum_e,0.0
fum_p,0.0
fusa_e,0.0
fusa_p,0.0
g1p_c,0.0
g1p_e,0.0
g1p_p,0.0
g3p_c,10.463089620952214
g3pc_c,0.0
g3pc_e,0.0
g3pc_p,0.0
g3pe_c,0.004319129375690724
g3pe_e,0.0
g3pe_p,0.0
g3pg_c,0.0
g3pg_e,0.0
g3pg_p,0.0
g3pi_c,0.0
g3pi_e,0.0
g3pi_p,0.0
g3ps_c,0.0
g3ps_e,0.0
g3ps_p,0.0
g6p_c,1.6646647574879808e-16
g6p_e,0.0
g6p_p,0.0
gagicolipa_c,0.0
gal1p_c,0.0
gal1p_e,0.0
gal1p_p,0.0
gal_DASH_bD_e,0.0
gal_DASH_bD_p,0.0
gal_c,0.0
gal_e,0.0
gal_p,0.0
galct_DASH_D_c,0.0
galct_DASH_D_e,0.0
galct_DASH_D_p,0.0
galctn_DASH_D_c,0.0
galctn_DASH_D_e,0.0
galctn_DASH_D_p,0.0
galctn_DASH_L_c,0.0
galctn_DASH_L_e,0.0
galctn_DASH_L_p,0.0
galt1p_c,0.0
galt_e,0.0
galt_p,0.0
galur_c,0.0
galur_e,0.0
galur_p,0.0
gam1p_c,0.054065445910603416
gam6p_c,0.054065445910603416
gam6p_e,0.0
gam6p_p,0.0
gam_e,0.0
gam_p,0.0
gar_c,0.08496004075289894
garagund_c,0.0
gbbtn_c,0.0
gbbtn_e,0.0
gbbtn_p,0.0
gcald_c,0.0007022689776071409
gdp_c,0.14362757876156745
gdp_e,0.0
gdp_p,0.0
gdpddman_c,0.0
gdpfuc_c,0.0
gdpmann_c,0.0
gdpofuc_c,0.0
gdptp_c,0.0
gfgaragund_c,0.0
gg4abut_c,0.0
ggagicolipa_c,0.0
ggbutal_c,0.0
gggagicolipa_c,0.0
ggptrc_c,0.0
ghb_c,0.0
gicolipa_c,0.0
glc_DASH_D_c,5.9927580160163405
glc_DASH_D_e,0.0
glc_DASH_D_p,11.985516032032681
glcn_c,0.0
glcn_e,0.0
glcn_p,0.0
glcr_c,0.0
glcr_e,0.0
glcr_p,0.0
glcur1p_e,0.0
glcur1p_p,0.0
glcur_c,0.0
glcur_e,0.0
glcur_p,0.0
gln_DASH_L_c,4.271882186497151
gln_DASH_L_e,0.0
gln_DASH_L_p,0.0
glntrna_c,0.0
glu1sa_c,0.0
glu5p_c,0.14038460476483294
glu5sa_c,0.14038460476483294
glu_DASH_D_c,0.016820955221129273
glu_DASH_L_c,7.273560784181945
glu_DASH_L_e,0.0
glu_DASH_L_p,0.0
glucys_c,0.0
glutrna_c,0.0018727172736187926
glx_c,0.013575429437946703
gly_c,1.4829539459134362
gly_e,0.0
gly_p,0.0
glyald_c,0.0
glyald_e,0.0
glyald_p,0.0
glyb_c,0.0
glyb_e,0.0
glyb_p,0.0
glyc2p_c,0.0
glyc2p_e,0.0
glyc2p_p,0.0
glyc3p_c,0.0772900198231889
glyc3p_e,0.0
glyc3p_p,0.0
glyc_DASH_R_c,0.01323268781382621
glyc_DASH_R_e,0.0
glyc_DASH_R_p,0.0
glyc_c,0.0
glyc_e,0.0
glyc_p,0.0
glyclt_c,0.00035113448880357044
glyclt_e,0.0
glyclt_p,0.0
glycogen_c,0.0
glytrna_c,0.0
gmeACP_c,1.3139352127506343e-06
gmhep17bp_c,0.0
gmhep1p_c,0.0
gmhep7p_c,0.0
gmp_c,2.7391003653507356e-33
gmp_e,0.0
gmp_p,0.0
gp4g_c,0.0
grdp_c,0.00014591238847142242
grxox_c,0.0
grxrd_c,0.0
gslnt_c,0.0
gsn_c,0.0
gsn_e,0.0
gsn_p,0.0
gthox_c,0.0
gthox_e,0.0
gthox_p,0.0
gthrd_c,0.0
gthrd_e,0.0
gthrd_p,0.0
gtp_c,1.3392398289595333
gtp_e,0.0
gtp_p,0.0
gtspmd_c,0.0
gua_c,0.0
gua_e,0.0
gua_p,0.0
h2_c,0.0
h2_e,0.0
h2_p,0.0
h2mb4p_c,0.0012539017843821152
h2o2_c,0.035122244841011924
h2o2_e,0.0
h2o2_p,0.0
h2o_c,24.37917615672528
h2o_e,1.8634273828161851
h2o_p,1.869982526942344
h2s_c,0.14652968866577548
h2s_e,0.0
h2s_p,0.0
h_c,42.636378481745396
h_e,2.214693442696488
h_p,20.0820536431132
hacolipa_e,0.0
halipa_e,0.0
hco3_c,0.6611921699413142
hcys_DASH_L_c,0.08101793384710602
hdca_c,0.07291068498594756
hdca_e,0.0
hdca_p,0.002961626097595529
hdcap_c,0.0
hdcea_c,0.08166935466043024
hdcea_e,0.0
hdcea_p,0.0013575032780951948
hdceap_c,0.0
hdcoa_c,0.08031185138233504
hdd2coa_c,0.24133621643817282
hdeACP_c,0.08166935466043024
hemeO_c,0.0
hexACP_c,0.0
hg2_c,0.0
hg2_e,0.0
hg2_p,0.0
hgmeACP_c,1.3139352127506343e-06
hhlipa_c,0.0
his_DASH_L_c,0.5248647067317244
his_DASH_L_e,0.0
his_DASH_L_p,0.0
hisp_c,0.04972463258635011
histd_c,0.04972463258635011
histrna_c,0.0
hkndd_c,0.0
hkntd_c,0.0
hlipa_c,0.0
hmbil_c,0.00023408965920234903
hmgth_c,0.0
hom_DASH_L_c,0.42259000509760525
hom_DASH_L_e,0.0
hom_DASH_L_p,0.0
hphhlipa_c,0.0
hpmeACP_c,1.3139352127506343e-06
hpyr_c,0.0
hqn_c,0.0
hx2coa_c,0.3088828606684155
hxa_c,0.0
hxa_e,0.0
hxa_p,0.0
hxan_c,0.019539577169619928
hxan_e,0.0
hxan_p,0.0
hxcoa_c,0.18678885183168614
iasp_c,0.0011956418019335466
ichor_c,0.0
icit_c,1.6525533126519898
